Fecha,Inflación
2008-06-01,0.017319060564041137
2008-07-01,0.03213191270828247
2008-08-01,0.013993359804153442
2008-09-01,0.017215193510055543
2008-10-01,0.020451321601867675
2008-11-01,0.006738766431808472
2008-12-01,0.004783464968204499
2009-01-01,0.008712133169174194
2009-02-01,-0.010848664045333863
2009-03-01,0.022856645584106446
2009-04-01,0.01591841459274292
2009-05-01,0.012744407653808593
2009-06-01,0.008783318996429444
2009-07-01,0.011606711149215698
2009-08-01,0.037030482292175294
2009-09-01,0.012301031351089477
2009-10-01,0.010335743427276611
2009-11-01,0.014688398838043213
2009-12-01,0.010960774421691894
2010-01-01,0.013139609098434448
2010-02-01,0.021222925186157225
2010-03-01,0.016874334812164306
2010-04-01,0.034456729888916016
2010-05-01,0.017570780515670778
2010-06-01,0.027318687438964845
2010-07-01,0.02486884593963623
2010-08-01,0.02154932975769043
2010-09-01,0.01240563154220581
2010-10-01,0.014226115942001342
2010-11-01,0.018924250602722167
2010-12-01,0.010640841722488404
2011-01-01,0.014846208095550538
2011-02-01,0.016985520124435424
2011-03-01,0.024451491832733156
2011-04-01,0.023594567775726317
2011-05-01,0.018903299570083618
2011-06-01,0.017475460767745973
2011-07-01,0.027093429565429688
2011-08-01,0.01812429666519165
2011-09-01,0.014422880411148071
2011-10-01,0.009417089819908141
2011-11-01,0.020292708873748778
2011-12-01,0.014420394897460937
2012-01-01,0.018724422454833984
2012-02-01,0.008721333146095276
2012-03-01,0.0377656626701355
2012-04-01,0.027265326976776125
2012-05-01,0.018058382272720337
2012-06-01,0.01715159058570862
2012-07-01,0.02651489734649658
2012-08-01,0.027333829402923584
2012-09-01,0.016870979070663452
2012-10-01,0.011197395324707031
2012-11-01,0.009803850650787354
2012-12-01,0.011419674158096313
2013-01-01,0.02055410385131836
2013-02-01,-0.0012314105778932572
2013-03-01,0.004028216898441315
2013-04-01,0.007010374665260315
2013-05-01,0.01844239830970764
2013-06-01,0.04073564052581787
2013-07-01,0.022412610054016114
2013-08-01,0.014801195859909057
2013-09-01,0.015981318950653075
2013-10-01,0.013103830814361572
2013-11-01,0.029024415016174317
2013-12-01,0.03546333789825439
2014-01-01,0.054019412994384765
2014-02-01,0.05925468921661377
2014-03-01,0.02920503854751587
2014-04-01,0.017704341411590576
2014-05-01,0.022122344970703124
2014-06-01,0.015134390592575073
2014-07-01,0.021146104335784913
2014-08-01,0.024828417301177977
2014-09-01,0.02335254430770874
2014-10-01,0.024613349437713622
2014-11-01,0.017110692262649538
2014-12-01,0.015937923192977904
2015-01-01,0.02335757255554199
2015-02-01,0.010412251949310303
2015-03-01,0.022296807765960693
2015-04-01,0.019899080991744995
2015-05-01,0.017138782739639282
2015-06-01,0.022476394176483155
2015-07-01,0.022177002429962157
2015-08-01,0.020974292755126953
2015-09-01,0.017200982570648192
2015-10-01,0.018377314805984497
2015-11-01,0.020277559757232666
2015-12-01,0.03450762033462525
2016-01-01,0.0630506420135498
2016-02-01,0.02400881290435791
2016-03-01,0.02809748888015747
2016-04-01,0.02739950656890869
2016-05-01,0.042
2016-06-01,0.031
2016-07-01,0.02
2016-08-01,0.002
2016-09-01,0.011
2016-10-01,0.024
2016-11-01,0.016
2016-12-01,0.012
2017-01-01,0.013
2017-02-01,0.025
2017-03-01,0.024
2017-04-01,0.026
2017-05-01,0.013
2017-06-01,0.014
2017-07-01,0.017
2017-08-01,0.015
2017-09-01,0.02
2017-10-01,0.013
2017-11-01,0.014
2017-12-01,0.034
2018-01-01,0.016
2018-02-01,0.024
2018-03-01,0.025
2018-04-01,0.027
2018-05-01,0.019
2018-06-01,0.039
2018-07-01,0.031
2018-08-01,0.041
2018-09-01,0.066
2018-10-01,0.051
2018-11-01,0.029
2018-12-01,0.028
2019-01-01,0.028
2019-02-01,0.038
2019-03-01,0.048
2019-04-01,0.032
2019-05-01,0.03
2019-06-01,0.026
2019-07-01,0.021
2019-08-01,0.039
2019-09-01,0.058
2019-10-01,0.032
2019-11-01,0.043
2019-12-01,0.037
2020-01-01,0.023
2020-02-01,0.02
2020-03-01,0.036
2020-04-01,0.014
2020-05-01,0.015
2020-06-01,0.02
2020-07-01,0.016
2020-08-01,0.027
2020-09-01,0.028
2020-10-01,0.036
2020-11-01,0.03
2020-12-01,0.037
2021-01-01,0.033
2021-02-01,0.036
2021-03-01,0.048
2021-04-01,0.041
2021-05-01,0.034
2021-06-01,0.032
2021-07-01,0.03
2021-08-01,0.026
2021-09-01,0.038
2021-10-01,0.038
2021-11-01,0.025
2021-12-01,0.041
2022-01-01,0.039
2022-02-01,0.047
2022-03-01,0.067
2022-04-01,0.062
2022-05-01,0.048
2022-06-01,0.055
2022-07-01,0.074
2022-08-01,0.07
2022-09-01,0.062
2022-10-01,0.063
2022-11-01,0.049
2022-12-01,0.053
2023-01-01,0.06
2023-02-01,0.066
2023-03-01,0.077
2023-04-01,0.084
2023-05-01,0.078
2023-06-01,0.06
2023-07-01,0.062
2023-08-01,0.123
2023-09-01,0.115
2023-10-01,0.083
2023-11-01,0.115
2023-12-01,0.255
2024-01-01,0.208
2024-02-01,0.132
2024-03-01,0.11
2024-04-01,0.092
2024-05-01,0.042
2024-06-01,0.046
2024-07-01,0.04
2024-08-01,0.038
2024-09-01,0.037
